DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE
CETIRIZINE DICHLORHYDRATE,CETIRIZINE PHYSIOPHARM,SOL BUV EN GTTES ,10MG/ML ,B/1 FL DE 30 ML +01 PIPETTE GRADUEE,Liste II
CETIRIZINE DICHLORHYDRATE,CYRTEC,SOL.BUV.,10MG/ML,FLC DE 15 ML,LISTE II
CETIRIZINE DICHLORHYDRATE,CYRTEX,SOL. BUVABLE EN GOUTTE,10MG/ML,B/1 FLC DE 15ML,Liste II
CETIRIZINE DICHLORHYDRATE,HISTARIZINE,SOL.BUV.,10MG/ML,B/1 FLC DE 15 ML,LISTE II
CETIRIZINE DICHLORHYDRATE,RHITENE,SOLUTION BUVABLE ,10MG/ML ,B/01FL COMPTE GTTES DE 15ML,LISTE II
CETIRIZINE DICHLORHYDRATE,TRIZ,SOL BUV EN GTTES ,10MG/ML ,B/01FL  DE 15 ML,Liste II
CETIRIZINE DICHLORHYDRATE,ZETIREC,SOL. BUV. GTTES.,10MG/ML,B/01FL COMPTE GTTES DE 15ML,Liste II
CETIRIZINE DICHLORHYDRATE,ZITRINE,SOL BUV EN GTTES ,10MG/ML ,B/FL 30ML COMPTE GOUTTES,Liste II
RUPATADINE S/F FUMARATE,RUPAFIN,COMP,10MG,B/20,LISTE II 
DIPHENHYDRAMINE CHLORHYDRATE,FENYDRA,COMP.PELLI.,50 MG,B/20,LISTE I
DIPHENHYDRAMINE CHLORHYDRATE,HUDU,COMPRIME SECABLE ,50MG,B/20,
DESLORATADINE,AIRDITINE,COMPRIME PELLICULE ,5MG,B/10,Liste II
DESLORATADINE,DESDOLE BGL,COMPRIME PELLICULE ,5 MF ,B/15 ET B/30,LISTE I
DESLORATADINE,DESLORAL,COMPRIME PELLICULE ,5MG,B/30 ET B/15,Liste II
DESLORATADINE,DESLOTINE,COMP.PELLI.,5 MG ,B/30,LISTE I
DESLORATADINE,LORADESS,COMPRIME PELLICULE ,5MG,B/10,Liste II
DESLORATADINE,UDINE,COMPRIME PELLICULE ,5MG,B/10 B/15 B/30,Liste II
DESLORATIDINE,DARISLOR,COMP. PELL.,05MG,B/15 ET B/30,LISTE II
DESLORATIDINE,DESLORADEX,COMP. PELL.,05MG,B/15 ET B/30,LISTE II
DESLORATADINE,AIRDITINE,SIROP,"0,5MG/ML",B/1FL. DE 120ML + BOUCHON DOSEUR GRADUE,LISTE II
DESLORATADINE,DARISLOR,SIROP,"0,5MG/ML",B/1 Flacon de 120ML + pipette graduée de 5ML,LISTE II
DESLORATADINE,DESLOR,SIROP.,"0,5MG/ML",B/1FL. DE 150ML + UNE SERING. MESURE GRADUEE,LISTE II
DESLORATADINE,LORADESS  ,SIROP,"0,5ML/ML",B/1FL DE 120 ML + PIPETTE GRADUéE EN ML ,Liste II
DESLORATADINE,ODESTA,Solution buvable,"0,5ML/ML",B/1FL DE 120 ML + seringue graduée,LISTE II
DESLORATADINE,RESTINE,SIROP,"0,5MG/ML",B/1FL. DE 100 ML + SERINGUE GRADUEE A 5ML,Liste II
DESLORATIDINE,DESDOLE BGL,SOL.BUV.,"0,5MG/ML",FLACON 120 ML,LISTE II
DESLORATIDINE,DESLORINE,SOLUTION BUVABLE ,0.5MG/ML,1 FLACON/120ML ,LISTE II 
BILASTINE,BILAXTEN,COMPRIME SECABLE ,20MG,B/10 ET B/20,Liste II
MEQUITAZINE,MEQUITAZ,COMP SEC,10MG,B/14,Liste I
MEQUITAZINE,PRIMALAN,COMPRIME SECABLE ,10MG,B/14,Liste I
MEQUITAZINE,PRIMINAL,COMPRIME SECABLE,10 MG,BOITE DE 14,Liste I
CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPRHOPTADINE,HEPTAGYL,SIROP,2MG/5ML (0.04%),FLC/125ML,
CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,HEPTAFORT,SIROP,2MG/5ML,FL./125ML,
CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,PERIAMEX,SIROP,2MG/5ML,FL/100 ML,
LEVOCETIRIZINE DICHLORHYDRATE,HISTADINE,COMRIME PELLICULE ,5MG,B/14,LISTE II
LEVOCETIRIZINE DICHLORHYDRATE,LEVOXINE,COMPRIME PELLICULE ,5MG,B/30,LISTE II
LEVOCETIRIZINE DICHLORHYDRATE,LEVOZEN,COMPRIME PELLICULE ,5 MG,B/14 ET B/28,Liste II
LEVOCETIRIZINE DICHLORHYDRATE,RIZINAL 5,COMPRIME PELLICULE ,5 MG,B/20,Liste II
LEVOCETIRIZINE DICHLORHYDRATE,XYCARE,COMPRIME PELLICULE ,5 MG,B/14 ET B/28,Liste II
LEVOCETIRIZINE DICHLORHYDRATE,XYRIZINE,COMPRIME PELLICULE ,5MG,B/14,LISTE II 
LEVOCETIRIZINE DICHLORHYDRATE,ZYRAL,COMP PELL,5MG,B/14,LISTE II
CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,CIPROMINE,COMPRIME,4MG,B/30 ,
EBASTINE,EBASTA,COMPRIME DISPERSIBLE SECABLE,10 MG,BOITE/10+BOITE/30,LISTE II 
FEXOFENADINE CHLORHYDRATE,FEXODINE,SUSP BUV,30 MG/5 ML,FL/125ML,Liste II
LEVOCETIRIZINE DICHLORHYDRATE,XYRIZINE,SOL. BUVABLE,"50MG
 2.5MG/5ML",B/A FLC DE 200ML,LISTE II
EXTRAITS ALLERGENIQUES DERMATOPHAGOIDES PTERONYSSINUS,ALUSTAL,SUSP. INJ.,"0,1IR/ML+1IR/ML+10IR/ML",B/03FL.,
EXTRAITS ALLERGENIQUS DERMATOPHAGOIDES PTERONYSSINUS,ALUSTAL,SUSP. INJ.,10IR/ML,B/01 FL.,
EXTRAITS ALLERGENIQUES MELANGE DE 5 GRAMINES,ALUSTAL,SUSP. INJ.,"0,1IR/ML+1IR/ML+10IR/ML",B/03FL.,
EXTRAITS ALLERGENIQUES MELANGE DE 5 GRAMINES,ALUSTAL,SUSP. INJ.,10IR/ML,B/01 FL.,
EXTRAITS ALLERGENIQUES DERMARTOPHAGOIDES PTERONYSSINUS/DERMATOPHAGOIDES FARINEA (50/50),STALORAL,SOLUTION SUBLINGUALE D'UN MELANGE D'EXTRAITS ALLERGENIQUE POUR IMMUNOTHERAPIE SPECIFIQUE,10+100+300 IR/ML - 300 IR/ML,COFFRET DE 03 FL. DE 10ML DE SOLUTION (10+100+300 IR/ML) - COFFRET DE 01 FL. DE 10ML DE SOLUTION (300 IR/ML),
FENTANYL CITRATE EXPRIME EN FENTANYL,FENTANYL JANSSEN,SOL.INJ.,"0,1MG/AMP.",B/5,Stupéfiants
FENTANYL CITRATE EXPRIME EN FENTANYL,FENTANYL PIRAMAL,SOL.INJ.,"0,1MG/AMP. (0,1MG/2ML)  ",B/5AMP. DE 2ML,Stupéfiants
FENTANYL CITRATE EXPRIME EN FENTANYL,FENTANYL JANSSEN,SOL.INJ.,"0,05MG/ML (0,5MG/10ML)",B/10AMP. DE 10ML,Stupéfiants
FENTANYL CITRATE EXPRIME EN FENTANYL,FENTANYL PIRAMAL,SOL.INJ.,"0,05MG/ML (0,5MG/10ML)",B/10AMP. DE 10ML,Stupéfiants
SUFENTANIL CITRATE EXPRIME EN SUFENTANIL,SUFENTA,SOL INJ  IV OU PERIDURALE,250µG/5ML,B/10AMP. DE 5ML,Stupéfiants
SUFENTANIL CITRATE EXPRIME EN SUFENTANIL,SUFENTA,SOL INJ IV OU PERIDURALE,5µG/ML (10µG/2ML - 50µG/10ML),B/5AMP. DE 2ML - B/10AMP.DE 10ML,Stupéfiants
CHLORHYDRATE DE REMIFENTANIL,REMIFENTANIL MYLAN ,POUDRE POUR SOL INJ OU POUR PERF IV ,2MG/FLACON ,BOITE DE 10 FLACONS DE 5 ML ,Stupéfiants
CHLORHYDRATE DE REMIFENTANIL,REMIFENTANIL MYLAN ,POUDRE POUR SOL INJ OU POUR PERF IV ,5MG/FLACON ,BOITE DE 10 FLACONS DE 10 ML ,Stupéfiants
HALOTHANE,HALOTHANE BP,LIQUIDE POUR INHALATION PAR VAPEUR,100%                                   ( 498 MG/250ML),B/01 FL DE 250 ML,LISTE I
ISOFLURANE,AERRANE,LIQUIDE. P. INHAL. PAR VAPEUR,100ML/100ML - 250ML/250ML,CARTON DE 06 FL. DE 100ML ET CARTON DE 06 FL. DE 250ML,Liste I
ISOFLURANE,FORENE,LIQUIDE. P. INHAL. PAR VAPEUR,100ML/100ML,B/01FL. DE 100 ML,Liste I
KETAMINE CHLORHYDRATE EXPRIME EN KETAMINE,KETARAZ,Solution injectable IM/IV,50MG/ML,B/10 AMPS et 50 AMPS,LISTE I
PROPOFOL,PROPOFOL FRESENIUS 1%,EMULSION  INJ. IV ET POUR PERF.IV,1% (OU 10MG/ML) ( OU 200MG/20ML),B/5AMP./20ML (200MG/20ML),Liste I
PROPOFOL,PROVIVE,EMULSION IV PERF.,1% (OU 10MG/ML),B/05 FL DE 20ML,Liste I
THIOPENTAL SODIQUE ET CARBONATE DE SODIUM EXPRIME EN THIOPENTAL SODIUM,"THIOPENTAL VUAB INJ.PLV.SOL.0,5 G",PDRE.SOL.INJ.,"0,5G",B/01FL,Liste II
THIOPENTAL SODIQUE ET CARBONATE DE SODIUM EXPRIME EN THIOPENTAL SODIUM,THIOPENTAL VUAB INJ.PLV.SOL.1.0 G,PDRE.SOL.INJ.,1G,B/01FL,Liste II
"OXYGENE  PURETE 99,50 %  SOUS PRESSION DE 10 BAR A 15 BAR  DE -155° C A -145 ° C",OXYGENE MEDICINAL LIQUIDE AIR LIQUIDE,GAZ POUR INHAL,,RESRVOIR CRYOGENIQUE MOBILE,
OXYGENE MEDICINAL GAZ D'UNE PURETE,OXYGENE MEDICINAL,GAZ POUR INHALATION EN BOUTEILLE,,"BOUTEILLE DE 5 LITRES MUNIE DE ROBINET VIPR, BOUTEILLE DE 5 LITRES, BOUTEILLE DE 50 LITRES",
OXYGENE MEDICINAL GAZEUX,OXYGENE MEDICINAL GAZEUX,GAZ.INHAL.,PURETE ? 99.50%,BOUTEILLE B50,LISTE I
OXYGENE MEDICINAL GAZEUX,RAYNOX GOX,GAZ POUR INAHLATION,PURETE ? 99.50%,BOUTEILLES DE B/10 ET B/50,LISTE I 
"OXYGÈNE MEDICINAL LIQUIDE (SOUS UNE PRESSION DE 1 À 15 BAR, DE -180° À -150°C  )",OXYGENE MEDICINAL LIQUIDE  CALGAZ ALLGERIE,Gaz pour inhalation,"Pureté  ? 99,50 %",Récipient cryogénique mobile de 23 530L,
RAYANOX N2O,PROTOXYDE D'AZOTE MEDICINAL,GAZ POUR INHALATION,"GAZ LIQUEFIE SS UNE PRESSION DE 44 BAR A 15 °C ( PURETE ? 98,50% V/V N2O) ",BOUTEILLE  DE 50 L,
OXYGENE MEDICINAL,OXYGENE MEDICINAL,GAZ.INHAL.,PURETE ? 99.95%,"CITERNES DE 10,000 L",LISTE I
OXYGENE MEDICINAL LIQUIDE ,OXYGENE MEDICINAL LIQUIDE,GAZ.INHAL.,PURETE ? 99.50%,RECIPIENT CRYOGENIQUE MOBILE DE 20000L,LISTE I
OXYGENE MEDICINAL LIQUIDE ,OXYGENE MEDICINAL LIQUIDE LINDE GAS ALGERIE ,GAZ POUR INHALATION EN RECIPIENT CRYOGENIQUE MOBILE SOUS UNE PRESSION DE 1 A 15 BAR DE -180° A -150°,PURETE ? 99.5%,"CITERNES DE 7000L, 12000L, 26000",
SEVOFLURANE,SEVOFLURANE USP ,LIQUIDE P. INHAL. PAR VAPEUR,100ML/100ML DE LIQUIDE POUR INHALATION PAR VAPEUR,CARTON DE 06 FL. DE 250ML,Liste I
SEVOFLURANE,SEVORANE,LIQUIDE P. INHAL. PAR VAPEUR,100ML/100ML DE LIQUIDE POUR INHALATION PAR VAPEUR,FL/250ML AVEC SYSTÈME DE FERMETURE FIXE QUIK-FIL,Liste I
SEVOFLURANE,SOJOURN,LIQUIDE POUR INHALATION PAR VAPEUR,100ML/100ML,BOITE DE 1 FLACON DE 250 ML,Liste I
ETOMIDATE,HYPNOMIDATE,SOL. INJ. IV,2MG/ML,B/05 AMP. DE 10ML,Liste I
SUGAMMADEX SODIQUE EXPRIME EN SUGAMMADEX,BRIDION,SOL. INJ. IV,100MG/ML (200MG/2ML) (500MG/5ML),B/10 FL DE 2ML ET B/10 FL DE 5ML,Liste I
PROPOFOL,DIPRIVAN ,EMULSION INJECTABLE IV EN SURINGUE Pré-remplie,10MG/ML,B/1 SERINGUE PRE REMPLIE DE 50 ML ,Liste I
PROPOFOL,DIPRIVAN ,EMULSION INJECTABLE EN SURINGUE Pré-remplie,20mg/ml,B/1 DE 50 ML ,Liste I
BUPIVACAÏNE HYDROCHLORIDE EXPRIME EN BUPIVACAÏNE HYDROCHLORIDE ANHYDRE ,BUPIVACAINE RAZES,SOLUTION INJECTABLE INTRARACHIDIENNE,"0,5 %                                     ( 20MG/4ML)",B/10 AMPOULES                  ET                                       B/50 AMPOULES                         ( AMPOULE DE 5 ML) ,LISTE II
CHLORHYDRATE DE LIDOCAINE,LIDOCAINE RAZES,"SOLUTION INJECTABLE  IV, IM ,SC OU PERIDURALE",100 MG/10 ML,BOITE DE 10 AMPOULES  ,Liste II
CHLORHYDRATE DE LIDOCAINE,LIDOCAINE RAZES,"SOLUTION INJECTABLE  IV, IM ,SC OU PERIDURALE",100 MG/10 ML,BOITE DE 50 AMPOULES  ,Liste II
LIDOCAINE  CHLORHYDRATE,UNICAINE 1%,SOL.INJ.,0.01,B/50 AMP. DE 10ML,Liste II
CHLORHYDRATE DE LIDOCAINE,LIDOCAINE RAZES,"SOLUTION INJECTABLE  IV, IM ,SC OU PERIDURALE",100 MG/10 ML,BOITE DE 10 AMPOULES  ,Liste II
CHLORHYDRATE DE LIDOCAINE,LIDOCAINE RAZES,"SOLUTION INJECTABLE  IV, IM ,SC OU PERIDURALE",100 MG/10 ML,BOITE DE 50 AMPOULES  ,Liste II
LIDOCAINE CHLORHYDRATE,XYCAINE,SOLUTION INJECTABLE,0.02,BOITE DE 10 AMPOULES DE 5 ML,Liste II
LIDOCAÏNE CHLORHYDRATE EXPRIME EN CHLORHYDRATE DE LIDOCAÏNE ANHYDRE,LIDOCAINE LS,Gel oral,2%  ( 2G/100G DE GEL),T/100G,LISTE II
MEPIVACAINE  (CHLORHYDRATE)/ADRENALINE (TARTRATE) ,MEDICAINE 2% AVEC ADRENALINE 1/100 000,SOL. INJ. EN CARPULES,"2%/1/100 000  (OU 2G/0,001G/100ML)","B/50 CARPULES DE 1,8ML",Liste I
MEPIVACAINE HYDROCHLORIDE,SCANDINIBSA 3%,SOL. INJ.,30MG/ML,B/50 CARTOUCHE DE 1.8ML,LISTE I
 LIDOCAINE/PRILOCAINE,BIOMLA  ,CREME  ,"5%                                        (2,5G/100G/2,5G/100G)",TUBE/30G+TUBE/5G,LISTE I 
LIDOCAINE/PRILOCAINE,NEOMLA,Crème pour application cutanée,"5%                                        (2,5G/100G/2,5G/100G)",T/30 G,LISTE II
ARTICAINE HYDROCHLORIDE/ADRENALINE TARTRATE,ARTINIBSA 4% AVEC EPINEPHRINE 1: 100.000,SOL. INJ.,40MG/0.001MG PAR 1ML,B/50 CARTOUCHE DE 1.8ML,LISTE I
VECURONIUM BROMURE,NEOVEC,LYOPH. ET SOLV. SOL. INJ. IV,4MG/FL. DE LYOPH.,B/01FL. DE PDRE. + 01AMP. DE 2ML DE SOLV.(EPPI),Liste I
VECURONIUM BROMURE,VECURON,LYOPH. ET SOLV. P. SOL. INJ. IV,4MG/FL. DE LYOPH.,B/10FL. DE LYOPH.+ 10AMP. DE 2ML DE SOLV. (EPPI),Liste I
ATRACURIUM BESYLATE,ATACURE,SOL. INJ. IV,10MG/ML (50MG/5ML),B/05AMP DE 5ML,Liste I
ROCURONIUM BROMURE,RONIUM,SOL.INJ.,50MG/5ML ( 10 MG/ML) ,B/10,Liste I
ACIDE ACETYLSALICYLIQUE,ACEPRAL,COMP.,500MG,B/20,
ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,ASPIGAL 900,PDRE.ET SOLV. P. SOL. INJ. IM/IV,500MG/FL. DE PDRE.,B/01FL. DE PDRE +01AMP. DE 5ML DE SOLV. (EPPI) ET B/50FL. DE PDRE    ,
ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,ASPEGIC ENFANT,PDRE. SOL. BUV. EN SACH.-DOSE,250MG/SACH.-DOSE,B/20 SACHETS,
ACETYLSALICYLATE DE DL LYSINE (ACIDE ACETYLSALICYLIQUE),ASPEGIC 500,POUDRE EN SOLUTION BUVABLE ,500MG/SACH.-DOSE,B/20 SACHETS,
ACIDE ACETYLSALICYLIQUE/ACIDE ASCORBIQUE,ASPIRINE UPSA VITAMINE C TAMPONNEE EFFERVESCENTE,COMPRIME EFFERVESSANT ,330MG/200MG,B/20,
ACIDE ACETYLSALICYLIQUE/CAFEINE,ASPRO ACCEL,COMP. PELLI. SEC.,500MG/50MG,B/20,
ACIDE ACETYLSALICYLIQUE ,ASPEGIC NOURISSON,PDRE.BUV.,100MG/SACHET ET 180MG/SACHET,B/20,LISTE I
PARACETAMOL,DOLI-BIEN,COMPRIME,500MG,B/16,
PARACETAMOL,DOLYC,COMPRIME,500MG,B/20,
PARACETAMOL,EFFERALGAN,COMPRIME SECABLE ,500MG,B/16,
PARACETAMOL,EXPANDOL,COMPRIME SECABLE ,500MG,BOITE/20,
PARACETAMOL,MIGRAMOL,COMPRIME SECABLE ,500MG,B/20 ,
PARACETAMOL,PARACETAL,COMPRIME,500MG,B/16,
PARACETAMOL,PARACETAMOL PHYSIOPHARM,COMPRIME,500MG,B/20,
PARACETAMOL,PARALGAN,COMPRIME SECABLE ,500MG,B/20,
PARACETAMOL,EXPANDOL,PDRE. P. SOL. BUV. EN SACH.-DOSE,100MG,B/12,
PARACETAMOL,PARACETAMOL PHYSIOPHARM,PDRE. P. SOL. BUV. EN SACH.-DOSE,100MG,B/12,
PARACETAMOL,PARALGAN,Poudre  P/Sol  buvable en Sachet Dose,100MG,B/12,
PARACETAMOL,DOLYMEX,"SUPPO,",100MG,B/10,
PARACETAMOL,PAROL ,"SUPPO,",100MG,B/10,
PARACETAMOL,SUPPFADOL 100,SUPPO.,100MG,B/10,
PARACETAMOL/CODEINE PHOSPHATE HEMIHYDRATE,CODOL,COMP,400MG/20 MG,B/20,LISTE I 
PARACETAMOL/CODEINE PHOSPHATE HEMIHYDRATE,COEXPANDOL ,COMPRIME,400MG/20MG,B/16,LISTE I
PARACETAMOL/CODEINE PHOSPHATE HEMIHYDRATE,COPARALGAN,COMPRIME SECABLE ,400MG/20MG,B/20,LISTE I
PARACETAMOL/CODEINE PHOSPHATE HEMIHYDRATE,PARACETAMOL CODEINE PHYSIOPHARM,COMP,400MG/20MG,B/20,LISTE I
PARACETAMOL/PHOSPHATE DE CODEINE HEMIHYDRATE,PARAC-CO,COMPRIME,400MG/20MG,B/20,
PARACETAMOL/CODEINE PHOSPHATE HEMIHYDRATE,CODOFEBRIL,CP EFFERVESCENT SECABLE,500 MG/30 MG,B/01 TUBE DE 16,LISTE I
PARACETAMOL/CODEINE PHOSPHATE HEMIHYDRATE,DAFALGAN CODEINE,COMPRIME PELLICULE ,500MG/30MG,B/16 ,LISTE I
PARACETAMOL/CODEINE PHOSPHATE HEMIHYDRATE,PLANADIX CONFORT +,COMPRIME,500MG/30MG,B/16,LISTE I
PARACETAMOL/CODEINE PHOSPHATE HEMIHYDRATE ,CO-DOLYC,COMPRIME,500MG/30MG,B/20,LISTE I
PARACETAMOL/CODEINE PHOSPHATE HEMIHYDRATE ,COPARAMOL FORT,COMPRIME,500MG/30MG,B/20,LISTE I
PARACETAMOL/PHOSPHATE DE CODEINE HEMIHYDRATE,EFFERALGAN CODEINE,COMP.PELLI.,500MG/30MG,B/16,LISTE I
PARACETAMOL,PAROL ,SUPPO.,150MG,B/10,
PARACETAMOL,SUPPFADOL 150,SUPPO.,150MG,B/10,
PARACETAMOL,DOLYMEX,SUPPO,200MG,B/10,
PARACETAMOL,PAROL,SUPPO. ,200MG,B/10,
PARACETAMOL,SUPPFADOL 200,SUPPO.,200MG,B/10,
PARACETAMOL,DOLYMEX ,SUPPO,300MG,B/10,
PARACETAMOL,PAROL ,SUPP0.,300MG,B/10,
PARACETAMOL,SUPPFADOL 300,SUPPO.,300MG,B/10,
PARACETAMOL,EXPANDOL,PDRE. P. SOL. BUV. SACH.-DOSE,150MG,B/12,
PARACETAMOL,PARACETAMOL BIOCARE,PDRE. SOL. BUV. EN SACH.,150MG,B/12,
PARACETAMOL,PARACETAMOL PHYSIOPHARM,PDRE. P. SOL. BUV. SACH.-DOSE,150MG,B/12,
PARACETAMOL,PARACETAMOL PHYSIOPHARM,PDRE. P. SOL. BUV. SACH.-DOSE,200MG,B/12,
PARACETAMOL,PARALGAN,Poudre  P/Sol  buvable en Sachet Dose,200MG,B/12,
PARACETAMOL,DOLIPRANE,PDRE. P. SOL. BUV. SACH.-DOSE,300MG,B/12,
PARACETAMOL,PARACETAMOL BIOCARE,GRANULE POUR SOLUTION BUVABLE EN SACHETS-DOSE,300MG/SACHET-DOSE,B/12,
PARACETAMOL,PARALGAN,Poudre  P/Sol  buvable en Sachet Dose,300MG,B/12,
PARACETAMOL,PLANADIX,POUDRE POUR SOLUTION BUVABLE EN SACHET DOSE,300 MG,B/12,
PARACETAMOL,SAPRAMOL,POUDRE POUR SOLUTION BUVABLE,300 MG,BOITE 12,Liste I
PARACETAMOL/ PSEUDOEPHEDRINE CHLORHYDRATE,PARAMOL RHUME,COMPRIME,500MG/30MG,B/20,
PARACETAMOL/PSEUDOEPHEDRINE (SOUS FORME DE CHLORHYDRATE)**  ,PLANADIX RHUME ,COMPRIME,500MG/30MG,B/16 ,
